2025-06-27 12:25:44,407 [INFO] Метрики: {'timestamp': '2025-06-27 12:25:43', 'cpu_percent': 3.7, 'memory_percent': 86.1, 'disk_percent': 77.8, 'net_sent': 48810892, 'net_recv': 666656004, 'load_avg_1min': 0.22, 'load_avg_5min': 0.16, 'load_avg_15min': 0.07}
2025-06-27 12:25:55,431 [INFO] Метрики: {'timestamp': '2025-06-27 12:25:54', 'cpu_percent': 8.5, 'memory_percent': 84.8, 'disk_percent': 77.8, 'net_sent': 48832077, 'net_recv': 666677499, 'load_avg_1min': 0.19, 'load_avg_5min': 0.16, 'load_avg_15min': 0.07}
2025-06-27 12:26:06,458 [INFO] Метрики: {'timestamp': '2025-06-27 12:26:05', 'cpu_percent': 15.6, 'memory_percent': 86.5, 'disk_percent': 77.8, 'net_sent': 48908362, 'net_recv': 666705707, 'load_avg_1min': 0.15, 'load_avg_5min': 0.15, 'load_avg_15min': 0.07}
2025-06-27 12:26:17,479 [INFO] Метрики: {'timestamp': '2025-06-27 12:26:16', 'cpu_percent': 4.3, 'memory_percent': 87.4, 'disk_percent': 77.8, 'net_sent': 48937950, 'net_recv': 666750663, 'load_avg_1min': 0.12, 'load_avg_5min': 0.14, 'load_avg_15min': 0.07}
2025-06-27 12:26:28,491 [INFO] Метрики: {'timestamp': '2025-06-27 12:26:27', 'cpu_percent': 4.7, 'memory_percent': 89.1, 'disk_percent': 77.8, 'net_sent': 49121108, 'net_recv': 666902408, 'load_avg_1min': 0.11, 'load_avg_5min': 0.14, 'load_avg_15min': 0.07}
2025-06-27 12:26:39,523 [INFO] Метрики: {'timestamp': '2025-06-27 12:26:38', 'cpu_percent': 2.3, 'memory_percent': 88.1, 'disk_percent': 77.8, 'net_sent': 49181616, 'net_recv': 666950401, 'load_avg_1min': 0.09, 'load_avg_5min': 0.14, 'load_avg_15min': 0.06}
2025-06-27 12:26:50,542 [INFO] Метрики: {'timestamp': '2025-06-27 12:26:49', 'cpu_percent': 9.3, 'memory_percent': 91.3, 'disk_percent': 77.8, 'net_sent': 49243140, 'net_recv': 667001313, 'load_avg_1min': 0.08, 'load_avg_5min': 0.13, 'load_avg_15min': 0.06}
2025-06-27 12:27:01,568 [INFO] Метрики: {'timestamp': '2025-06-27 12:27:00', 'cpu_percent': 27.0, 'memory_percent': 92.1, 'disk_percent': 77.8, 'net_sent': 49245328, 'net_recv': 667013454, 'load_avg_1min': 0.06, 'load_avg_5min': 0.12, 'load_avg_15min': 0.06}
2025-06-27 12:27:12,594 [INFO] Метрики: {'timestamp': '2025-06-27 12:27:11', 'cpu_percent': 8.2, 'memory_percent': 88.0, 'disk_percent': 77.8, 'net_sent': 49319570, 'net_recv': 667233864, 'load_avg_1min': 0.27, 'load_avg_5min': 0.17, 'load_avg_15min': 0.08}
2025-06-27 12:27:23,628 [INFO] Метрики: {'timestamp': '2025-06-27 12:27:22', 'cpu_percent': 13.8, 'memory_percent': 80.0, 'disk_percent': 77.8, 'net_sent': 49378357, 'net_recv': 667346419, 'load_avg_1min': 0.23, 'load_avg_5min': 0.16, 'load_avg_15min': 0.08}
2025-06-27 12:27:34,651 [INFO] Метрики: {'timestamp': '2025-06-27 12:27:33', 'cpu_percent': 8.0, 'memory_percent': 84.3, 'disk_percent': 77.8, 'net_sent': 49381480, 'net_recv': 667350230, 'load_avg_1min': 0.27, 'load_avg_5min': 0.18, 'load_avg_15min': 0.08}
2025-06-27 12:27:45,669 [INFO] Метрики: {'timestamp': '2025-06-27 12:27:44', 'cpu_percent': 5.0, 'memory_percent': 82.4, 'disk_percent': 77.8, 'net_sent': 49431658, 'net_recv': 667388822, 'load_avg_1min': 0.23, 'load_avg_5min': 0.17, 'load_avg_15min': 0.08}
2025-06-27 12:27:56,771 [INFO] Метрики: {'timestamp': '2025-06-27 12:27:55', 'cpu_percent': 39.0, 'memory_percent': 82.9, 'disk_percent': 77.8, 'net_sent': 49477617, 'net_recv': 667425528, 'load_avg_1min': 0.18, 'load_avg_5min': 0.16, 'load_avg_15min': 0.08}
2025-06-27 12:28:07,794 [INFO] Метрики: {'timestamp': '2025-06-27 12:28:06', 'cpu_percent': 6.0, 'memory_percent': 83.2, 'disk_percent': 77.8, 'net_sent': 49492244, 'net_recv': 667447546, 'load_avg_1min': 0.15, 'load_avg_5min': 0.16, 'load_avg_15min': 0.08}
2025-06-27 12:28:18,827 [INFO] Метрики: {'timestamp': '2025-06-27 12:28:17', 'cpu_percent': 34.7, 'memory_percent': 83.3, 'disk_percent': 77.8, 'net_sent': 49524378, 'net_recv': 667492387, 'load_avg_1min': 0.13, 'load_avg_5min': 0.15, 'load_avg_15min': 0.08}
2025-06-27 12:28:29,848 [INFO] Метрики: {'timestamp': '2025-06-27 12:28:28', 'cpu_percent': 7.6, 'memory_percent': 85.3, 'disk_percent': 77.8, 'net_sent': 49541712, 'net_recv': 667514822, 'load_avg_1min': 0.11, 'load_avg_5min': 0.15, 'load_avg_15min': 0.08}
2025-06-27 12:28:40,872 [INFO] Метрики: {'timestamp': '2025-06-27 12:28:39', 'cpu_percent': 1.6, 'memory_percent': 86.3, 'disk_percent': 77.8, 'net_sent': 49588692, 'net_recv': 667557743, 'load_avg_1min': 0.09, 'load_avg_5min': 0.14, 'load_avg_15min': 0.08}
2025-06-27 12:28:51,893 [INFO] Метрики: {'timestamp': '2025-06-27 12:28:50', 'cpu_percent': 6.8, 'memory_percent': 86.8, 'disk_percent': 77.8, 'net_sent': 49593283, 'net_recv': 667565378, 'load_avg_1min': 0.07, 'load_avg_5min': 0.13, 'load_avg_15min': 0.08}
2025-06-27 12:29:02,915 [INFO] Метрики: {'timestamp': '2025-06-27 12:29:01', 'cpu_percent': 12.5, 'memory_percent': 87.2, 'disk_percent': 77.8, 'net_sent': 49605075, 'net_recv': 667587991, 'load_avg_1min': 0.28, 'load_avg_5min': 0.18, 'load_avg_15min': 0.09}
2025-06-27 12:29:13,948 [INFO] Метрики: {'timestamp': '2025-06-27 12:29:12', 'cpu_percent': 37.9, 'memory_percent': 87.4, 'disk_percent': 77.8, 'net_sent': 49859646, 'net_recv': 667612615, 'load_avg_1min': 0.24, 'load_avg_5min': 0.17, 'load_avg_15min': 0.09}
2025-06-27 12:29:24,993 [INFO] Метрики: {'timestamp': '2025-06-27 12:29:23', 'cpu_percent': 91.3, 'memory_percent': 96.0, 'disk_percent': 77.8, 'net_sent': 49922727, 'net_recv': 667689137, 'load_avg_1min': 0.2, 'load_avg_5min': 0.17, 'load_avg_15min': 0.09}
2025-06-27 12:29:36,014 [INFO] Метрики: {'timestamp': '2025-06-27 12:29:34', 'cpu_percent': 20.9, 'memory_percent': 83.1, 'disk_percent': 77.8, 'net_sent': 50003682, 'net_recv': 667735703, 'load_avg_1min': 0.17, 'load_avg_5min': 0.16, 'load_avg_15min': 0.09}
2025-06-27 12:29:47,036 [INFO] Метрики: {'timestamp': '2025-06-27 12:29:46', 'cpu_percent': 10.0, 'memory_percent': 85.5, 'disk_percent': 77.8, 'net_sent': 50051354, 'net_recv': 667779625, 'load_avg_1min': 0.37, 'load_avg_5min': 0.2, 'load_avg_15min': 0.1}
2025-06-27 12:29:58,056 [INFO] Метрики: {'timestamp': '2025-06-27 12:29:57', 'cpu_percent': 11.7, 'memory_percent': 86.1, 'disk_percent': 77.8, 'net_sent': 50082434, 'net_recv': 667829530, 'load_avg_1min': 0.32, 'load_avg_5min': 0.2, 'load_avg_15min': 0.1}
2025-06-27 12:30:09,074 [INFO] Метрики: {'timestamp': '2025-06-27 12:30:08', 'cpu_percent': 23.3, 'memory_percent': 84.1, 'disk_percent': 77.8, 'net_sent': 50261360, 'net_recv': 667918335, 'load_avg_1min': 0.27, 'load_avg_5min': 0.19, 'load_avg_15min': 0.1}
2025-06-27 12:30:20,095 [INFO] Метрики: {'timestamp': '2025-06-27 12:30:19', 'cpu_percent': 25.8, 'memory_percent': 89.7, 'disk_percent': 77.8, 'net_sent': 50292144, 'net_recv': 667967481, 'load_avg_1min': 1.4, 'load_avg_5min': 0.44, 'load_avg_15min': 0.19}
2025-06-27 12:30:31,112 [INFO] Метрики: {'timestamp': '2025-06-27 12:30:30', 'cpu_percent': 10.6, 'memory_percent': 82.0, 'disk_percent': 77.7, 'net_sent': 50374107, 'net_recv': 668055002, 'load_avg_1min': 1.35, 'load_avg_5min': 0.46, 'load_avg_15min': 0.2}
2025-06-27 12:30:42,141 [INFO] Метрики: {'timestamp': '2025-06-27 12:30:41', 'cpu_percent': 9.4, 'memory_percent': 83.1, 'disk_percent': 77.7, 'net_sent': 50433516, 'net_recv': 668104012, 'load_avg_1min': 1.05, 'load_avg_5min': 0.44, 'load_avg_15min': 0.19}
